,ID,Datum,Tekst,Gebruiker
22,1458432775862824966,Wed Nov 10 13:54:04 +0000 2021,"Nee, dit is geen gewone schoolstoel, dit is een museumstuk...Wie de draaideur bij de ingang van Padualaan 101 neemt: kijk vooral naar de FEM-stoel. Genoemd naar de Faculteit Economie en Management. https://t.co/olKJWUohFt #stoel #museumstuk #hogeschoolutrecht #hu https://t.co/LRsnSHQ3of",trajectum
23,1458422791385006080,Wed Nov 10 13:14:24 +0000 2021,"RT @HU_Utrecht: Een delegatie van de #Topsectoren, @MinisterieEZK  en @kennisbundel bezocht vandaag #HogeschoolUtrecht. Thema: hoe draagt d…",PCramers
24,1458419831800225801,Wed Nov 10 13:02:38 +0000 2021,"RT @HU_Utrecht: Een delegatie van de #Topsectoren, @MinisterieEZK  en @kennisbundel bezocht vandaag #HogeschoolUtrecht. Thema: hoe draagt d…",rhslotman
25,1458414164288942087,Wed Nov 10 12:40:07 +0000 2021,"Een delegatie van de #Topsectoren, @MinisterieEZK  en @kennisbundel bezocht vandaag #HogeschoolUtrecht. Thema: hoe draagt de #HU met het #MKB bij aan het oplossen van actuele maatschappelijke vraagstukken vanuit het living/lab, praktijkgericht onderzoek en learning communities. https://t.co/8JZGEEW4Vm",HU_Utrecht
26,1458371855492976640,Wed Nov 10 09:52:00 +0000 2021,Bedankje van een blije afstudeerder😊. #ecologischepedagogiek #hu @HU_Utrecht https://t.co/eF8jSBNE7S,maartjetraint
27,1458363801011695619,Wed Nov 10 09:19:59 +0000 2021,"In het project 'Jong-leren met verschil' delen studenten met diverse achtergronden hun levensverhaal. De opbrengst: een film, podcast en tijdschrift waarmee ze meer begrip willen kweken voor diversiteit op de #HU. 
https://t.co/adbeqi2TEq https://t.co/azVEoajXuj",HU_Utrecht
28,1458318803503390734,Wed Nov 10 06:21:11 +0000 2021,"RT @HU_Utrecht: Als het over #energietransitie en #verduurzaming gaat, gaat het vaak over de techniek. Maar minstens zo belangrijk voor de…",erlijn
29,1458170878315933700,Tue Nov 09 20:33:23 +0000 2021,"RT @HU_Utrecht: De ‘vertelknuffel’ #SAMbuddy, ontwikkeld door onder meer de #HU en @VUAmsterdam, heeft de #ComputableAward 2021 gewonnen in…",contact_DOG
30,1458094372780658691,Tue Nov 09 15:29:23 +0000 2021,"Bestanden uploaden, het huiswerk checken en roosters inzien: 
Canvas is van alle markten thuis. 🤓
Maar zijn studenten wel tevreden met dit programma? Wat zou er beter kunnen?
#canvas #studenten #hu #hogeschoolutrecht #magister #rooster #huiswerk https://t.co/gSGvu2KHBI",trajectum
31,1458072842164129795,Tue Nov 09 14:03:49 +0000 2021,"RT @HU_Utrecht: Als het over #energietransitie en #verduurzaming gaat, gaat het vaak over de techniek. Maar minstens zo belangrijk voor de…",GerianAlofs
32,1458047503308316675,Tue Nov 09 12:23:08 +0000 2021,"RT @trajectum: Daan Westerink geeft weer les na een burn-out én kanker. Ze  mijdt tegenwoordig de media, maar nog één keer in Trajectum von…",Faxel10
33,1457998319754547203,Tue Nov 09 09:07:42 +0000 2021,"Vanaf vandaag moeten studenten weer een mondkapje op binnen de HU. Dit is weer even wennen. Wat vinden de studenten van de mondkapjesplicht? 
https://t.co/cepvkU3e8N
#mondkapje #studenten #voxpop #maatregelingen #hogeschoolutrecht #hu https://t.co/nTrdkWOafE",trajectum
34,1457837856697769986,Mon Nov 08 22:30:05 +0000 2021,RT @HU_Utrecht: #Gezondheid en #welzijn: twee handen op één buik. Toch werken professionals in die domeinen lang niet altijd goed samen. #P…,GertHunink
35,1457806599003770885,Mon Nov 08 20:25:52 +0000 2021,"RT @trajectum: Daan Westerink geeft weer les na een burn-out én kanker. Ze  mijdt tegenwoordig de media, maar nog één keer in Trajectum von…",ldvdloo
36,1457799356069789700,Mon Nov 08 19:57:05 +0000 2021,"RT @trajectum: Daan Westerink geeft weer les na een burn-out én kanker. Ze  mijdt tegenwoordig de media, maar nog één keer in Trajectum von…",jennifer_elders
37,1457773943788503047,Mon Nov 08 18:16:06 +0000 2021,RT @HU_Utrecht: #Gezondheid en #welzijn: twee handen op één buik. Toch werken professionals in die domeinen lang niet altijd goed samen. #P…,KSI_HU
38,1457732012865900549,Mon Nov 08 15:29:29 +0000 2021,"RT @trajectum: Daan Westerink geeft weer les na een burn-out én kanker. Ze  mijdt tegenwoordig de media, maar nog één keer in Trajectum von…",juistwerk
39,1457717047056609289,Mon Nov 08 14:30:01 +0000 2021,"RT @trajectum: Daan Westerink geeft weer les na een burn-out én kanker. Ze  mijdt tegenwoordig de media, maar nog één keer in Trajectum von…",daanwesterink
40,1457707942371811333,Mon Nov 08 13:53:51 +0000 2021,"Daan Westerink geeft weer les na een burn-out én kanker. Ze  mijdt tegenwoordig de media, maar nog één keer in Trajectum vond ze nuttig. ‘Misschien kunnen mensen wat leren van mijn verhaal. Burn-out is geen modeziekte’, concludeert ze. #burnout #kanker #hu https://t.co/y1KwEiMSbv https://t.co/FUN9Ql4w25",trajectum
41,1457703519885070338,Mon Nov 08 13:36:16 +0000 2021,RT @HU_Utrecht: #Gezondheid en #welzijn: twee handen op één buik. Toch werken professionals in die domeinen lang niet altijd goed samen. #P…,Wijkinfopunt
42,1457681497687838720,Mon Nov 08 12:08:46 +0000 2021,"RT @HU_Utrecht: Als het over #energietransitie en #verduurzaming gaat, gaat het vaak over de techniek. Maar minstens zo belangrijk voor de…",felixvanvugt
43,1457681058808348675,Mon Nov 08 12:07:01 +0000 2021,"Als het over #energietransitie en #verduurzaming gaat, gaat het vaak over de techniek. Maar minstens zo belangrijk voor de uitvoering is het meekrijgen van bewoners. Het project #SURE, met o.a. de #HU en @Hanze, gaat daar de komende jaren in investeren. https://t.co/Tw2WpBmwBT https://t.co/84iDfG6PoG",HU_Utrecht
44,1457676370243371011,Mon Nov 08 11:48:23 +0000 2021,RT @HU_Utrecht: #Gezondheid en #welzijn: twee handen op één buik. Toch werken professionals in die domeinen lang niet altijd goed samen. #P…,FroukjeSmits
45,1457667671294681090,Mon Nov 08 11:13:49 +0000 2021,RT @HU_Utrecht: Samen met @HvA en @hsrotterdam start de #HU het centrum voor Responsible Applied AI. Hierin wordt onderzocht hoe #AI techno…,RahminBender
46,1457645093293371392,Mon Nov 08 09:44:06 +0000 2021,RT @HU_Utrecht: Samen met @HvA en @hsrotterdam start de #HU het centrum voor Responsible Applied AI. Hierin wordt onderzocht hoe #AI techno…,HU_DBM
47,1457645051304103936,Mon Nov 08 09:43:56 +0000 2021,Samen met @HvA en @hsrotterdam start de #HU het centrum voor Responsible Applied AI. Hierin wordt onderzocht hoe #AI technologie verantwoord ontworpen en geïmplementeerd kan worden bij bedrijven en instellingen en welke methodologie daarbij passend is. https://t.co/GaXRg3fMcV,HU_Utrecht
48,1457642100288274434,Mon Nov 08 09:32:13 +0000 2021,RT @HU_Utrecht: #Gezondheid en #welzijn: twee handen op één buik. Toch werken professionals in die domeinen lang niet altijd goed samen. #P…,TamaraMadern
49,1457638297552015360,Mon Nov 08 09:17:06 +0000 2021,"#Gezondheid en #welzijn: twee handen op één buik. Toch werken professionals in die domeinen lang niet altijd goed samen. #PREVENT, een onderzoeksgroep van de #HU en @HvA, gaat die samenwerking verbeteren, met name bij preventie in de wijk. https://t.co/ddwhq5IRgP https://t.co/WvLmElQwld",HU_Utrecht
50,1456707849166495749,Fri Nov 05 19:39:50 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,erlijn
51,1456579430625779719,Fri Nov 05 11:09:32 +0000 2021,"RT @HU_Utrecht: De ‘vertelknuffel’ #SAMbuddy, ontwikkeld door onder meer de #HU en @VUAmsterdam, heeft de #ComputableAward 2021 gewonnen in…",VUamsterdam
52,1456534966721032196,Fri Nov 05 08:12:51 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,katarinajerkovi
53,1456328314797371392,Thu Nov 04 18:31:42 +0000 2021,"RT @trajectum: 'Een zee van mogelijkheden in de HU-bieb'. 🤓
Volgens de baas van de bieb laten we de meest interessante functies liggen.
Hoe…",melodycrickett
54,1456322296046669833,Thu Nov 04 18:07:47 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,meeterennluv
55,1456256162307870731,Thu Nov 04 13:44:59 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,HU_DBM
56,1456237673111244803,Thu Nov 04 12:31:31 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,KSI_HU
57,1456218509734825988,Thu Nov 04 11:15:22 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,JanBogerd
58,1456218344177160195,Thu Nov 04 11:14:43 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,TamaraMadern
59,1456212142957400069,Thu Nov 04 10:50:04 +0000 2021,"De ‘vertelknuffel’ #SAMbuddy, ontwikkeld door onder meer de #HU en @VUAmsterdam, heeft de #ComputableAward 2021 gewonnen in de categorie onderwijsproject. SAMbudy is een 'vertel-knuffel-robot', voor kinderen die hun hart willen luchten. https://t.co/IxgZFHPsue https://t.co/kJTPB254fO",HU_Utrecht
60,1456204320588935168,Thu Nov 04 10:18:59 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,HM_de_Jong
61,1456199733781962752,Thu Nov 04 10:00:46 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,JoVisserfonds
62,1456196110586978304,Thu Nov 04 09:46:22 +0000 2021,RT @HU_Utrecht: De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken…,PCramers
63,1456192430173216772,Thu Nov 04 09:31:44 +0000 2021,De komende acht jaar is de #HU betrokken bij drie #SPRONG-trajecten: deze krijgen een 8-jarige subsidie voor het versterken van een bestaande onderzoeksgroep waarin hogescholen samenwerken met praktijkpartners op actuele maatschappelijke thema’s. https://t.co/tYg5Yrg3ij https://t.co/vbJT6PGXYl,HU_Utrecht
64,1456188593093939200,Thu Nov 04 09:16:29 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,irma_cest_moi
65,1456188574169276422,Thu Nov 04 09:16:25 +0000 2021,"RT @trajectum: 'Een zee van mogelijkheden in de HU-bieb'. 🤓
Volgens de baas van de bieb laten we de meest interessante functies liggen.
Hoe…",HUBibliotheek
66,1456183675289280516,Thu Nov 04 08:56:57 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,RichardKres
67,1456182342884773894,Thu Nov 04 08:51:39 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,SchoneLuchtNU
68,1456182277214461952,Thu Nov 04 08:51:24 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,ReneSchaft
69,1456143182572445698,Thu Nov 04 06:16:03 +0000 2021,"RT @trajectum: ‘Rouw is zo uniek als een vingerafdruk.’ 
Studenten, docenten en experts spraken gisteren over rouw, tijdens een ontmoeting…",JanBogerd
70,1455999793256402944,Wed Nov 03 20:46:16 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,HoutrookIn
71,1455979653819244553,Wed Nov 03 19:26:14 +0000 2021,"RT @trajectum: 'Een zee van mogelijkheden in de HU-bieb'. 🤓
Volgens de baas van de bieb laten we de meest interessante functies liggen.
Hoe…",Vanderk
72,1455976148417007617,Wed Nov 03 19:12:19 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,annet19811
73,1455932583439736839,Wed Nov 03 16:19:12 +0000 2021,"'Doe gewoon wat je leuk vindt, dan komt het wel goed met alle cijfers'. 🎉
Met welk cijfer nemen studenten genoegen? Wat kun je doen om betere cijfers te halen? En zijn hoge cijfers belangrijk?🤯
Check de podcast 'https://t.co/BEtyRrdf4x
#cijfers #podcast #hu #studenten #toets https://t.co/r1vYizKzWB",trajectum
74,1455912359172653065,Wed Nov 03 14:58:50 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,AnitaVosmer
75,1455912340185133056,Wed Nov 03 14:58:46 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,Resolv_e
76,1455908000418484229,Wed Nov 03 14:41:31 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,Gerben_Nebreg
77,1455901411858866180,Wed Nov 03 14:15:20 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,HumansAreRotten
78,1455899610396909576,Wed Nov 03 14:08:11 +0000 2021,"‘Rouw is zo uniek als een vingerafdruk.’ 
Studenten, docenten en experts spraken gisteren over rouw, tijdens een ontmoeting in de Botanische Tuinen. 
‘Het is gewoon kut.’ Lees de hele reportage: https://t.co/jGd8SQr9j0
#rouw #verwerken #dood #hu #podium #verwerking https://t.co/kBOCAHxug1",trajectum
79,1455893036131569673,Wed Nov 03 13:42:03 +0000 2021,#HU lectoraat @JlabHU heeft haar website vernieuwd en in een nieuw jasje gestoken. Benieuwd naar het journalistieke onderzoek dat uitgevoerd wordt? Neem dan een kijkje op https://t.co/JizetPWnQA #HUonderzoek #samendigitaal,HU_DBM
80,1455889389742170116,Wed Nov 03 13:27:34 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,GeesPetra
81,1455883031819038723,Wed Nov 03 13:02:18 +0000 2021,"Mondkapjes en QR-codes op de Hogeschool Utrecht? 😷 
Hoewel tijdens de persconferentie het hoger onderwijs niet expliciet is genoemd, kan het zijn dat de coronapas ook voor hogescholen en universiteiten gaat gelden. 

#coronapas #hu #hogeschoolutrecht #hogeschool #mondkapje https://t.co/JiTK86rICM",trajectum
82,1455878773925154816,Wed Nov 03 12:45:23 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,miekevanstigt
83,1455876699107823624,Wed Nov 03 12:37:08 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,sering80
84,1455874046856507392,Wed Nov 03 12:26:36 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,houtrookvrij
85,1455853060681617408,Wed Nov 03 11:03:12 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,WaterlelieCaste
86,1455851161240670221,Wed Nov 03 10:55:39 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,DusEmpireNL
87,1455844521573552128,Wed Nov 03 10:29:16 +0000 2021,"Consumenten hebben vaak de intentie duurzame keuzes te maken, maar hun gedrag laat vaak anders zien. Hoe kunnen we via marketingprincipes de consumentenvoorkeur naar duurzame vleesproducten te realiseren? de #HU gaat daar onderzoek naar doen: https://t.co/dsm7ACBdyl",HU_DBM
88,1455833459092512770,Wed Nov 03 09:45:19 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,Cumulus1966
89,1455827708584382465,Wed Nov 03 09:22:28 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,TwizS8
90,1455818743309914112,Wed Nov 03 08:46:50 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,houtstookstop
91,1455815762451615747,Wed Nov 03 08:35:00 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,SmeowThecat
92,1455813684224270336,Wed Nov 03 08:26:44 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,PietKonings
93,1455813598857551883,Wed Nov 03 08:26:24 +0000 2021,RT @trajectum: Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12…,pientka_marleen
94,1455813414333435905,Wed Nov 03 08:25:40 +0000 2021,"Goedemorgen! 
Ondanks mist, nog steeds een regenboog 🌈. 🥰 #USP #HU https://t.co/Skk0F82qjA",dmvdesign
95,1455642361724379145,Tue Nov 02 21:05:58 +0000 2021,"RT @trajectum: 'Een zee van mogelijkheden in de HU-bieb'. 🤓
Volgens de baas van de bieb laten we de meest interessante functies liggen.
Hoe…",chknier
96,1455573599750926339,Tue Nov 02 16:32:44 +0000 2021,Aanstaande zaterdag voert Marco van Stralen met honderd man actie tegen de houtkachel. Zijn club stophoutrook staat vanaf 12:00 uur bij houtleverancier Gamma en heeft alle denkbare pers uitgenodigd. Komen jullie ook? https://t.co/ngORSonlli #houtstook #rook #vuur #hu #actie https://t.co/tVBjvZWjm1,trajectum
97,1455517380726214665,Tue Nov 02 12:49:20 +0000 2021,"RT @trajectum: 'Een zee van mogelijkheden in de HU-bieb'. 🤓
Volgens de baas van de bieb laten we de meest interessante functies liggen.
Hoe…",JvdVos
98,1455516415448989700,Tue Nov 02 12:45:30 +0000 2021,"'Een zee van mogelijkheden in de HU-bieb'. 🤓
Volgens de baas van de bieb laten we de meest interessante functies liggen.
Hoe gebruiken jullie de bibliotheek? Of hebben jullie deze wel eens van binnen gezien?📕📘📗https://t.co/QU1WSPw1Q9
#bibliotheek #hu #hogeschoolutrecht https://t.co/bmk3En5xMN",trajectum
99,1455512311695880192,Tue Nov 02 12:29:11 +0000 2021,Mooie vacature voor een senior-onderzoeker Curriculum vraagstukken Funderend Onderwijs: https://t.co/dSPOtckexb #hu #onderzoek #digitalegeletterdheid,gerarddummer
100,1455463643269763076,Tue Nov 02 09:15:48 +0000 2021,"Büsra's tentamentijd gaat niet over de rozen.... 🥀
Hoe erg zitten jullie in de stress?😰
Lees snel haar ervaring in de toetsperiode en de laatste loodjes: https://t.co/sRfBVNFgno
#column #trajectum #busra #tentamen #studenten #stress #hu #tips https://t.co/Nu4MiX9hR2",trajectum
101,1455202842713759748,Mon Nov 01 15:59:28 +0000 2021,"Het is tentamenweek. 
Hoe gestrest zijn studenten? 
Zijn ze überhaupt gestresst? En is er genoeg aandacht voor stress? Is er een land waar ze liever zouden willen wonen?

Kortom: heel veel vragen over stress!
.
.
.
#stress #studenten #studiestress #studeren #hogeschoolutrecht #hu https://t.co/HOFnNmKV3F",trajectum
102,1454180143954595842,Fri Oct 29 20:15:38 +0000 2021,"Ons bijzondere tijdschrift over ‘jong-leren met verschil’ - hoofdzakelijk gemaakt door studenten, en prachtig vormgegeven door #Studiovrijdag Utrecht - is nu ook online te lezen
#ECHO #HU  https://t.co/JGc2locY63",HankeDrop
103,1453917082559647744,Fri Oct 29 02:50:19 +0000 2021,RT @HU_Utrecht: Digitale sporen van studenten gebruiken om het leren te verbeteren: dat kan met learning analytics. Bij de implementatie hi…,Wiemer_Kuik
104,1453667692548866048,Thu Oct 28 10:19:20 +0000 2021,RT @HU_Utrecht: Digitale sporen van studenten gebruiken om het leren te verbeteren: dat kan met learning analytics. Bij de implementatie hi…,RosenbachTamara
105,1453638098168991745,Thu Oct 28 08:21:44 +0000 2021,Digitale sporen van studenten gebruiken om het leren te verbeteren: dat kan met learning analytics. Bij de implementatie hiervan gaat nog veel mis. Justian Knobbout #HU onderzocht hoe het beter kan. Volg zijn promotie morgen via de site van @OU_Nederland!https://t.co/lYGkCnuJ4h,HU_Utrecht
106,1453337886351364098,Wed Oct 27 12:28:48 +0000 2021,Met de #mondgezondheid van ouderen is het vaak slecht gesteld. Babette Everaars #HU onderzocht of dit een indicatie kan zijn van verdere kwetsbaarheid en komt met aanbevelingen. #gezondheidszorg https://t.co/zZ2H4aLU42,HU_Utrecht
